organization,service_type,address,city,state,country,postcode,latitude,longitude,public_telephone
Hammond Health,General practice service,"Suite 1,129 FITZMAURICE STREET",EAST WAGGA WAGGA,NSW,AUS,2650,-35.10392612,147.36917788,
Healthy Lifestyles Australia - 1 Pring Street,Dietetics service,"Ipswich Foot and Ankle Clinic,1 Pring Street",IPSWICH,QLD,AUS,4305,-27.61846923828125,152.76229858398438,
Specialist Medical & Therapy Solutions - Park Central Clinic,Pain management service,"Campbelltown Private Hospital,Level 1 Suite 8,42 Parkside Crescent",CAMPBELLTOWN,NSW,AUS,2560,-34.0755729675293,150.80499267578125,
Workplace Physiotherapy,Physiotherapy service,"Hunter Specialist Medical Centre,91 Chatham Street",BROADMEADOW,NSW,AUS,2292,-32.925472259521484,151.7374267578125,
National Institute of Integrative Medicine (NIIM),Psychology service,21 Burwood Road,HAWTHORN,VIC,AUS,3122,-37.8209342956543,145.02285766601562,
"Virginia Tobar, Psychologist - Currambine",Adult mental health service,10 Sunlander Drive,CURRAMBINE,WA,AUS,6028,-31.724292755126953,115.74701690673828,
Core Physiotherapy & Pilates Studio Campbelltown,Physiotherapy service,506 Lower North East Road,CAMPBELLTOWN,SA,AUS,5074,-34.888628,138.65746,
Best Care Medical Clinic - Blacktown,General practice service,4 Lock Street,BLACKTOWN,NSW,AUS,2148,-33.77901077270508,150.91392517089844,
Discount Chemist Langwarrin,Pharmacy service,Union Road,LANGWARRIN,VIC,AUS,3910,-38.15783758,145.19495182,
Pharmacy 4 Less - Armadale,Pharmacy service,"Shop MM04, Armadale Shopping City,193 Jull Street",ARMADALE,WA,AUS,6112,-32.150325775146484,116.02194213867188,
Patterson Allied Health & Patterson Lakes Podiatry,Dietetics service,"Harbour Plaza,Shop 7-8,Thompson Road",PATTERSON LAKES,VIC,AUS,3197,-38.067325592041016,145.14788818359375,
West Lindfield Compounding Pharmacy,Pharmacy service,30 Moore Avenue,LINDFIELD WEST,NSW,AUS,2070,-33.777176,151.149124,
Airlie Physio,Physiotherapy service,"1A,400 Shute Harbour Rd",AIRLIE BEACH,QLD,AUS,4802,-20.270046,148.72059,
Westhaven Aged Care Facility - Occupational Therapy Clinic,Occupational therapy service,"Roma Hospital,197 235 McDowall Street",ROMA,QLD,AUS,4455,-26.56854820251465,148.7755584716797,
West Avenue Family Practice,General practice service,32 West Avenue,CESSNOCK,NSW,AUS,2325,-32.836997985839844,151.3494415283203,
Comino Medical Clinic,General practice service,60 Hardgrave Road,WEST END,QLD,AUS,4101,-27.482242584228516,153.00723266601562,
Logan Hospital - Physiotherapy,Physiotherapy service,Cnr Armstrong And Loganlea Road,MEADOWBROOK,QLD,AUS,4131,-27.662744522094727,153.14044189453125,
ST GEORGES MEDICAL CENTRE,General practice service,"Ashton Chambers,189 St Georges Terrace",PERTH,WA,AUS,6000,-31.95404052734375,115.85342407226562,
Headquarters Fitness Studio,Nutrition service,"Unit 1,29 Shearwater Drive",TAYLORS BEACH,NSW,AUS,2316,-32.752559661865234,152.0724639892578,
Priceline Pharmacy Neutral Bay,Pharmacy service,194-196 Military Road,NEUTRAL BAY,NSW,AUS,2089,-33.83119583129883,151.22232055664062,
Mark One Health and Rehabilitation,Exercise physiology service,"Suite 2,23 San Francisco Avenue",COFFS HARBOUR,NSW,AUS,2450,-30.282974243164062,153.13424682617188,
The Bright Side Clinic,General practice service,"Suite 9,20 Bayshore Drive",BYRON BAY,NSW,AUS,2481,-28.632266998291016,153.58270263671875,
Physio Gym,Exercise physiology service,560 564 Parramatta Road,PETERSHAM,NSW,AUS,2049,-33.88894271850586,151.15541076660156,
The Sydney Private Hospital - Physio Unit,Dietetics service,"Sydney Private Hospital,63 Victoria Street",ASHFIELD,NSW,AUS,2131,-33.89404296875,151.1288299560547,
Falcon Grove Pharmacy,Pharmacy service,"Falcon Grove S/c,Shop 14,609-617 Old Coast Road",FALCON,WA,AUS,6210,-32.58107945,115.66306986,
Dodds Pharmacy - Campsie,Pharmacy service,"Campsie Medical Centre,17 Anglo Road",CAMPSIE,NSW,AUS,2194,-33.910953521728516,151.10269165039062,
Master Pharmacy Outlet,Pharmacy service,"Shop 1-3,52 Rooty Hill Road",ROOTY HILL,NSW,AUS,2766,-33.769833,150.843018,
Roseanne Brumby - Clinical Psychologist & Couples Counsellor,Psychology service,"Level 1,326 ELIZABETH STREET",NORTH HOBART,TAS,AUS,7000,-42.87553423,147.31710714,
Mornington Peninsula Family Physiotherapy,Physiotherapy service,130 Tanti Avenue,MORNINGTON,VIC,AUS,3931,-38.224937438964844,145.04734802246094,
Charleville and Western Areas Aboriginal and Torres Strait Islanders Community Health - Quilpie - Outreach Service,General practice service,49 Brolga Street,QUILPIE,QLD,AUS,4480,-26.612953186035156,144.26634216308594,
Christine Cnr Medical Centre,Dietetics service,"Shop 19 ,221 Christine Avenue",VARSITY LAKES,QLD,AUS,4227,-28.08554482,153.4235776,
Adnash Medical Centre,General practice service,241 Green Valley Road,GREEN VALLEY,NSW,AUS,2168,-33.90093231201172,150.86236572265625,
TerryWhite Chemmart Kingsgrove,Pharmacy service,245 Kingsgrove Road,KINGSGROVE,NSW,AUS,2208,-33.941566467285156,151.10096740722656,
Mentone Neurology Service,Neurology service,"Bayside Specialist Centre,41 Como Parade E",MENTONE,VIC,AUS,3194,-37.98706817626953,145.07020568847656,
Vashti Taverner Art Therapy,Mental health service,Confidential Address,KIAMA,NSW,AUS,2533,-34.6688851994072,150.852078057282,
Reliance Medical Practice Umina Beach,General practice service,441A Ocean Beach Road,UMINA BEACH,NSW,AUS,2257,-33.521953008576446,151.3162594975796,
Bright Diets - Woy Woy,Dietetics service,26-30 Railway Parade,WOY WOY,NSW,AUS,2256,-33.485897064208984,151.32412719726562,
Forest Lake Local Doctors,General practice service,"Suite 4,175 College Avenue",FOREST LAKE,QLD,AUS,4078,-27.61178,152.97278,
Tweed Health for Everyone GP Super Clinic,Psychology service,"THE Allied Hub,Unit 4,8 Corporation Circuit",TWEED HEADS SOUTH,NSW,AUS,2486,-28.20619773864746,153.5382080078125,
Access Health and Community - Hawthorn,Physiotherapy service,378 Burwood Road,HAWTHORN,VIC,AUS,3122,-37.82308578491211,145.0368194580078,
Omega Healthcare,Mental health service,"Level 2, Suite 1,54 Smart St",FAIRFIELD,NSW,AUS,2165,-33.869221,150.956501,
Gymworks Occupational Therapy,Occupational therapy service,36 Dodd Street,WEMBLEY,WA,AUS,6014,-31.923845291137695,115.82318878173828,
Goldfields Medical Group,Psychology service,64 Lyttleton Street,CASTLEMAINE,VIC,AUS,3450,-37.06483459472656,144.21896362304688,
Everton Park Sports & Spinal Physiotherapy,Physiotherapy service,"Everton Park Retail Centre,Shop C3,768 Stafford Road",EVERTON PARK,QLD,AUS,4053,-27.40663719177246,152.99371337890625,
Alpha Medical Centre - Cobram,General practice service,30 William Street,COBRAM,VIC,AUS,3644,-35.919715881347656,145.65106201171875,
Pam Borgeaud Occupational Therapy,Occupational therapy service,122 Arrabri Avenue,MOUNT OMMANEY,QLD,AUS,4074,-27.5457763671875,152.9322052001953,
Muttaburra Primary Health Centre - Exercise Physiologist,Exercise physiology service,Edkins Street,MUTTABURRA,QLD,AUS,4732,-22.59567642211914,144.54583740234375,
RecoverFit Physiotherapy,Physiotherapy service,"UNIT 2,71 SMITH STREET",CICCONE,NT,AUS,0870,-23.69120017,133.86506017,
True Care Physiotherapy - Sale,Exercise physiology service,"Suite 18,67 Macalister Street",SALE,VIC,AUS,3850,-38.10902404785156,147.06655883789062,
Elite Medical Toorak,General practice service,"UNIT 1,521 TOORAK ROAD",TOORAK,VIC,AUS,3142,-37.84075038,145.01013469,
Cardiff Family Practice,General practice service,"Shop 3,50 Harrison Street",CARDIFF,NSW,AUS,2285,-32.9411735534668,151.66015625,
Alora Retreat,Mental health service,"Victoria Gardens,67 Richmond Road",MORNINGSIDE,QLD,AUS,4170,-27.471186779981945,153.0730953331668,
SmartClinics Mango Hill,General practice service,1-21 Halpine Drive,MANGO HILL,QLD,AUS,4509,-27.242507,153.0262,
Gladstone GP Superclinic,General practice service,206-214 Philip Street,GLADSTONE,QLD,AUS,4680,-23.871292114257812,151.24818420410156,
Bankstown Hospital Cardiac Chronic Care,Physical and rehabilitation medicine service,70 Eldridge Road,BANKSTOWN,NSW,AUS,2200,-33.93313217163086,151.02084350585938,
The Psychology Space - Wollongong,Psychology service,"Suite 2,233 Crown Street",WOLLONGONG,NSW,AUS,2500,-34.425315856933594,150.89260864257812,
Step Bite Step,Dietetics service,"Unit 2,1 Wattle Road",FLINDERS,NSW,AUS,2529,-34.58033752441406,150.857666015625,
Albury Wodonga Aboriginal Health Service,Chronic disease management service,664 Daniel Street,GLENROY,NSW,AUS,2640,-36.058522,146.912993,
Seymour Health,Occupational therapy service,1 Bretonneux Street,SEYMOUR,VIC,AUS,3660,-37.017608642578125,145.13894653320312,
Bonnells Bay Pharmacy,Pharmacy service,"The Bay Shopping Centre,Shop 7,330 Fishery Point Road",BONNELLS BAY,NSW,AUS,2264,-33.11072540283203,151.53260803222656,
Priceline Pharmacy - Bonnyrigg Plaza,Pharmacy service,"Bonnyrigg Plaza,Shop 20,100 Bonnyrigg Avenue",BONNYRIGG,NSW,AUS,2177,-33.88657760620117,150.88882446289062,
MedicAid Family Medical and Accident Centre - Ballarat,General practice service,23-25 Raglan Street,BALLARAT,VIC,AUS,3350,-37.55913543701172,143.8505096435547,
Chemist Warehouse Kangaroo Flat,Pharmacy service,144 High Street,KANGAROO FLAT,VIC,AUS,3555,-36.79641342163086,144.24359130859375,
The Psychology Centre,Psychology service,81 Princes Street,SANDY BAY,TAS,AUS,7005,-42.89815902709961,147.32070922851562,
Dizziness And Balance Disorders Centre Pty Ltd,Physiotherapy service,"Level 2,70 Hindmarsh Square",ADELAIDE,SA,AUS,5000,-34.92509460449219,138.6067657470703,
Dr Starlette Isaacs Surgery,General practice service,407 Darling Street,BALMAIN,NSW,AUS,2041,-33.855857849121094,151.17616271972656,
Bayswater Physiotherapy,Physiotherapy service,"Suite 7,488 Walter Road E",BAYSWATER,WA,AUS,6053,-31.895076751708984,115.92460632324219,
St Kilda Superclinic,Dietetics service,"Acland Court,Level 1,156-160 Acland Street",ST KILDA,VIC,AUS,3182,-37.86896514892578,144.98037719726562,
Inala Chempro Chemist,Pharmacy service,"Inala Central Shopping Centre,Shop 8-11,1 Kittyhawk Avenue",INALA,QLD,AUS,4077,-27.597043991088867,152.97283935546875,
Wigram Street Family Medical Practice,General practice service,72 Wigram Street,HARRIS PARK,NSW,AUS,2150,-33.82163619995117,151.00877380371094,
Dianella Physiotherapy Centre,Physiotherapy service,123A Walter Road W,DIANELLA,WA,AUS,6059,-31.90139925665313,115.8868222692418,
Educreative,Speech and language therapy service,"The Children's Private Medical Group,Level 3 Suite 3,48 Flemington Road",PARKVILLE,VIC,AUS,3052,-37.794960021972656,144.9497833251953,
Marong Medical Practice Inglewood,General practice service,8 Hospital Street,INGLEWOOD,VIC,AUS,3517,-36.573112,143.874207,
Physio on Bayside - Redland Bay,Physiotherapy service,"Unit 9,100 Donald Road",REDLAND BAY,QLD,AUS,4165,-27.637283325195312,153.30543518066406,
Pimpama Junction Pharmacy,Pharmacy service,"Pimpama Junction,SHOP 2,28 Dixon Drive",PIMPAMA,QLD,AUS,4209,-27.826697626846073,153.31629567980406,
Hibiscus Day & Night Pharmacy,Pharmacy service,"Hibiscus Shopping Town,Shop 4,8 Leanyer Drive",LEANYER,NT,AUS,0812,-12.37768,130.896178,
Olympic Park Sports Medicine Centre,Dietetics service,"Aami Park,60 Olympic Boulevard",MELBOURNE,VIC,AUS,3004,-37.82509994506836,144.9837188720703,
Busselton Physiotherapy and Allied Health Centre,Exercise physiology service,55 Bussell Highway,WEST BUSSELTON,WA,AUS,6280,-33.653804779052734,115.335205078125,
Total Nutrition Care,Dietetics service,"Suite 22,488 Neerim Road",MURRUMBEENA,VIC,AUS,3163,-37.88983154296875,145.06834411621094,
Allied Fitness Australia - Malaga,Exercise physiology service,"Shop 1,655 Marshall Road",MALAGA,WA,AUS,6090,-31.857610542338332,115.90705518650553,
Mind Australia - Fintry Residential Services,Mental health service,104 Hodgkinson Street,CLIFTON HILL,VIC,AUS,3068,-37.789329528808594,144.9915313720703,
Smithfield Medical and Dental Centre,General practice service,"Smithfield Square Shopping Centre,Suite 1-2,673 The Horsley Drive",SMITHFIELD,NSW,AUS,2164,-33.85275650024414,150.94009399414062,
Vogue Medical,Dietetics service,"Corner of Chapel & Malcolm St,670 Chapel Street",SOUTH YARRA,VIC,AUS,3141,-37.837371826171875,144.99667358398438,
headspace Wonthaggi,Mental health service,5 Murray St,WONTHAGGI,VIC,AUS,3995,-38.60494,145.592567,
Strathpine GP SuperClinic,General practice service,"Unit 11,328 Gympie Road",STRATHPINE,QLD,AUS,4500,-27.3061580657959,152.98878479003906,
Susan Harrison - Speech Pathology,Speech and language therapy service,63 Charles Riley Road,NORTH BEACH,WA,AUS,6020,-31.86587905883789,115.76438903808594,
Beecroft Physiotherapy,Physiotherapy service,"Shop 1,5 Wongala Crescent",BEECROFT,NSW,AUS,2119,-33.749755859375,151.0655059814453,
Atherton Hospital - Palliative Care Services,Palliative medicine service,48 56 Jack Street,ATHERTON,QLD,AUS,4883,-17.266345977783203,145.4835968017578,
Neami - Central Adelaide and Hills Partners in Recovery (PIR),Mental health service,477-479 Regency Road,PROSPECT,SA,AUS,5082,-34.8740234375,138.60128784179688,
Inline Physio Moorooka,Physiotherapy service,101 Beaudesert Rd,MOOROOKA,QLD,AUS,4105,-27.529925,153.023288,
Goolum Goolum Aboriginal Cooperative - Hamilton Street Medical Clinic,General practice service,43 Hamilton Street,HORSHAM,VIC,AUS,3400,-36.718143463134766,142.20289611816406,
Tarneit Doctors,General practice service,313 Hogans Road,TARNEIT,VIC,AUS,3029,-37.8610671,144.66426,
Erin Warnes - Occupational Therapist,Occupational therapy service,Confidential Address,OWEN,SA,AUS,5460,-34.27154541015625,138.5478057861328,
Myhealth Logan Village,General practice service,2-12 North Street,LOGAN VILLAGE,QLD,AUS,4207,-27.766271591186523,153.1084442138672,
Country Health Connect - Southern Yorke Peninsula Community Health Service,Occupational therapy service,Harbor View Terrace,VICTOR HARBOR,SA,AUS,5211,-35.56230545043945,138.60931396484375,
Roselands Physiotherapy,Physiotherapy service,"Shop 27,556 FOREST ROAD",PENSHURST,NSW,AUS,2222,-33.96284064,151.08210282,
Grantham Street General Practice,General practice service,69 Grantham Street,BRUNSWICK WEST,VIC,AUS,3055,-37.77101516723633,144.9493408203125,
Spencer Road Family Practice,General practice service,"Suite 1,2 Warton Road",HUNTINGDALE,WA,AUS,6110,-32.06694412231445,115.970458984375,
Ron Davis Amcal Pharmacy,Pharmacy service,308 High Street,MELTON,VIC,AUS,3337,-37.682823181152344,144.5835723876953,
Occupational Therapy Enhancing Childrens Skills - OTECS,Occupational therapy service,5 Clanwilliam Street,WILLOUGHBY,NSW,AUS,2068,-33.79670333862305,151.1967010498047,
Coastal Counselling & Consultancy - Sorrento,Psychology service,"Sorrento medical Centre,166 Ocean Beach Road",SORRENTO,VIC,AUS,3943,-38.3394660949707,144.73672485351562,
MetroRehab Professional Services,Physiotherapy service,"Metro Rehab Hospital,Level 2,275 Addison Road",PETERSHAM,NSW,AUS,2049,-33.89929962158203,151.15573120117188,
Bounce Physiotherapy,Physiotherapy service,"Stirling Gate,Suite 19,257 Balcatta Road",BALCATTA,WA,AUS,6021,-31.862926483154297,115.82638549804688,
Only About Kids Occupational Therapy,Occupational therapy service,"Level 1,9 Commercial Road",CAROLINE SPRINGS,VIC,AUS,3023,-37.72942,144.744067,
UniSA Health Medical Clinic - City East Campus,General practice service,"Centenary Building, UNISA City East Campus,Level 2,Frome Road",ADELAIDE,SA,AUS,5000,-34.91753387451172,138.6061553955078,
Aurora Medical Centre,General practice service,39 Old Prospect Road,SOUTH WENTWORTHVILLE,NSW,AUS,2145,-33.81711959838867,150.96446228027344,
Symmetry Physiotherapy Taylors Lakes,Physiotherapy service,"Unit 1,900 Old Calder Highway",KEILOR,VIC,AUS,3036,-37.702728271484375,144.80337524414062,
Faculty of Health Clinics,Exercise physiology service,"University of Canberra,Level C Building 28,Corner Ginninderra Drive and Allawoona Street",BRUCE,ACT,AUS,2617,-35.23371124267578,149.08726501464844,
Acacia Well-Being,Exercise physiology service,194 Cavendish Rd,COORPAROO,QLD,AUS,4151,-27.494959,153.05991,
Pharmacy 777 Margaret River,Pharmacy service,"Meeka House,Shop 1,101 Bussell Highway",MARGARET RIVER,WA,AUS,6285,-33.9491081237793,115.07460021972656,
Gippsland Private Consulting Suites,Neurology service,"Latrobe Regional Hospital,10 Village Ave",TRARALGON,VIC,AUS,3844,-38.21789098354359,146.47418567586996,
Atticus Regional Medicentre - Hastings,Psychology service,2104 Frankston-flinders Road,HASTINGS,VIC,AUS,3915,-38.309200286865234,145.18321228027344,
Cooleman Court Medical Centre,General practice service,17-19A Cooleman Court,WESTON CREEK,ACT,AUS,2611,-35.3408230610794,149.05243946952,
Melbourne Hand Therapy - Elgar Hill Medical Suites,Occupational therapy service,"Elgar Hill Medical Suites,Suite 7,28 Arnold Street",BOX HILL,VIC,AUS,3128,-37.81371307373047,145.11618041992188,
Smartlife Health,Dietetics service,2 Willyama Avenue,FAIRLIGHT,NSW,AUS,2094,-33.79650115966797,151.26980590820312,
Back In Motion  - Kurri Kurri,Exercise physiology service,"Kurri Professional Centre,Unit 2,114 Barton Street",KURRI KURRI,NSW,AUS,2327,-32.819244384765625,151.4824676513672,
Mandy Stubbs Speech Pathologist,Speech and language therapy service,5 Seconds Avenue,LANE COVE,NSW,AUS,2066,-33.820247650146484,151.17886352539062,
Mandurah Community Health and Development Centre,Dietetics service,112 Lakes Road,GREENFIELDS,WA,AUS,6210,-32.5307731628418,115.7636947631836,
Inner Melbourne Clinical Psychology - Fitzroy North ,Psychology service,155 St Georges Road,FITZROY NORTH,VIC,AUS,3068,-37.785404,144.981614,
Dee Wardrop Speech Pathology and Occupational Therapy - Coburg,Occupational therapy service,293 MORELAND ROAD,COBURG,VIC,AUS,3058,-37.75431856,144.95632286,
Condamine Assist,Psychology service,54 Guy Street,WARWICK,QLD,AUS,4370,-28.2183837890625,152.03016662597656,
Hovey Exercise Physiology,Exercise physiology service,"Genesis Health & Fitness Centre,1 Park Street",MADDINGLEY,VIC,AUS,3340,-37.685978,144.438822,
Counselling Creatively - Janet Jones,Mental health service,11 Stradbroke Avenue,REDLAND BAY,QLD,AUS,4165,-27.612316131591797,153.30197143554688,
Mariners Medical Tuggerah,General practice service,3/1 Bryant Drive,TUGGERAH,NSW,AUS,2259,-33.31327819824219,151.42369079589844,
Mary-Lou McDevitt,Speech and language therapy service,38 Gilles Road,GLEN OSMOND,SA,AUS,5064,-34.95744705200195,138.6502685546875,
Hornsby Counselling & Psychology,Psychology service,"Level 6 Suite 607,90 George Street",HORNSBY,NSW,AUS,2077,-33.70174026489258,151.10006713867188,
Dr Tan's Surgery,General practice service,15 Welshpool Road,ST JAMES,WA,AUS,6102,-31.994091033935547,115.91487121582031,
Greater Western Aboriginal Health Service,General practice service,27-29 Lawson Street,PENRITH,NSW,AUS,2750,-33.7529963,150.6977685,
New Creation OT,Occupational therapy service,123 HIGH STREET,TAREE,NSW,AUS,2430,-31.91111495,152.45268563,
Central Bayside Community Health Services - Chelsea,Physiotherapy service,"Shop 3,1 The Strand",CHELSEA,VIC,AUS,3196,-38.05229187011719,145.11505126953125,
Dandenong City Clinic Pharmacy,Pharmacy service,9 Pultney Street,DANDENONG,VIC,AUS,3175,-37.98895263671875,145.21511840820312,
Cannington Medical Centre Pharmacy,Pharmacy service,"SHOP 1,8-10 Hamilton Street",CANNINGTON,WA,AUS,6107,-32.01203,115.92467,
Infochem Pharmacy,Pharmacy service,60 Bankstown City Plaza,BANKSTOWN,NSW,AUS,2200,-33.91791889,151.03369514,
Brentford Square Pharmacy - Direct Chemist Outlet,Pharmacy service,"Brentford Square Shopping,Shop 4,500 Canterbury Road",FOREST HILL,VIC,AUS,3131,-37.836463928222656,145.1829071044922,
Masters Pharmacy,Pharmacy service,3 Joseph Street,LIDCOMBE,NSW,AUS,2141,-33.86396026611328,151.04396057128906,
High Street Medical Bayswater,General practice service,"Unit 2,2 High Street",BAYSWATER,VIC,AUS,3153,-37.841800689697266,145.2650909423828,
Isisford PHC - Speech Pathology / Therapy,Speech and language therapy service,St Helena Street,ISISFORD,QLD,AUS,4731,-24.2615966796875,144.44033813476562,
St Marys Medical Surgery,General practice service,87 Queen Street,ST MARYS,NSW,AUS,2760,-33.764923095703125,150.77394104003906,
Memory Clinic - Royal Brisbane and Women's Hospital,Speech and language therapy service,"Rosemount,Cartwright Street",WINDSOR,QLD,AUS,4030,-27.437763214111328,153.03321838378906,
Jean Hailes at Clayton,General practice service,173 Carinish Road,CLAYTON,VIC,AUS,3168,-37.92583465576172,145.12313842773438,
Exercise and Sports Science Australia (ESSA),Exercise physiology service,9 Hercules Street,HAMILTON,QLD,AUS,4007,-27.439451217651367,153.06808471679688,
Star Pharmacy Mount Gambier,Pharmacy service,"Shop 3,145 Commercial Street E",MOUNT GAMBIER,SA,AUS,5290,-37.83128356933594,140.78956604003906,
Goondir Health Services Oakey,General practice service,110 Campbell Street,OAKEY,QLD,AUS,4401,-27.4321502,151.7188585,
"Rehabco - The Rehabilitation Company, Fyshwick",Psychology service,26 Maryborough Street,FYSHWICK,ACT,AUS,2609,-35.32606887817383,149.17649841308594,
Boon Health Centre,General practice service,"Unit 27,862-868 Old Princes Highway",SUTHERLAND,NSW,AUS,2232,-34.03461456298828,151.0561065673828,
Wongabel Family Practice,General practice service,5 Wongabel Street,KENMORE,QLD,AUS,4069,-27.509550094604492,152.94822692871094,
Priceline Pharmacy Camden,Pharmacy service,130 Argyle Street,CAMDEN,NSW,AUS,2570,-34.05552673339844,150.69557189941406,
North West Neurology,Neurology service,96 MARIUS STREET,NORTH TAMWORTH,NSW,AUS,2340,-31.07969359,150.92349902,
Yarraville Square Pharmacy,Pharmacy service,"Shop 4,1 High Street",YARRAVILLE,VIC,AUS,3013,-37.81680679321289,144.88169860839844,
South Side Medical,General practice service,"Shop 1,7 JULIET STREET",EAST MACKAY,QLD,AUS,4740,-21.14853416,149.18575794,
Pure Physio - Collins Street,Physiotherapy service,"Mezzanine Level,80 COLLINS STREET",MELBOURNE,VIC,AUS,3000,-37.8136393,144.97068632,
Reablement Australia,Exercise physiology service,"Level 9,1 Corporate Court",BUNDALL,QLD,AUS,4217,-27.998781204223633,153.4123992919922,
Guardian Dietitian,Dietetics service,"UNIT 3,30 ELEANOR STREET",FOOTSCRAY,VIC,AUS,3011,-37.79176487,144.88492809,
Miwatj Health Centre,General practice service,1424 Arnhem Road,NHULUNBUY,NT,AUS,0880,-12.189719200134277,136.77467346191406,
Marie Bertuch & Assoc.,Psychology service,"Level 2 Shop 203,107 Walker Street",NORTH SYDNEY,NSW,AUS,2060,-33.838966369628906,151.20909118652344,
Michelle Parker-Tomlin Psychology,Clinical psychology service,"Griffith University,Level 4,Building G40 Parklands Drive",SOUTHPORT,QLD,AUS,4215,-27.960327,153.378851,
Evolving Pain,Physiotherapy service,29 Hope Street,SPOTSWOOD,VIC,AUS,3015,-37.829856844513216,144.88579281099837,
Advance Psychology Consulting,Psychology service,"Suite 5,77 Woodward Street",EDGE HILL,QLD,AUS,4870,-16.90159034729004,145.7427520751953,
Noosa District Speech Pathology,Speech and language therapy service,8 Sunshine Beach Road,NOOSA HEADS,QLD,AUS,4567,-26.39691925048828,153.090087890625,
Life Care Mount Pleasant Physiotherapy,Physiotherapy service,"Suite 2,37-39 Reynolds Road",MOUNT PLEASANT,WA,AUS,6153,-32.01643371582031,115.84315490722656,
Challenge Community Services,Psychology service,13 Darling Street,TAMWORTH,NSW,AUS,2340,-31.085905075073242,150.92816162109375,
Absolute Physiotherapy Mackay - Brisbane Street,Physiotherapy service,29 Brisbane Street,MACKAY,QLD,AUS,4740,-21.144019,149.188286,
The Elms Family Medical Centre,General practice service,"Suite 1,160 MAIN STREET",BACCHUS MARSH,VIC,AUS,3340,-37.67580754,144.43862251,
Dysart Pharmacy,Pharmacy service,"Garden Plaza Shopping Centre,Shop 12,1 Shannon Crescent",DYSART,QLD,AUS,4745,-22.590069,148.349197,
Lutwyche Family Practice,General practice service,"Level 1,Level 1,543 Lutwyche Rd",LUTWYCHE,QLD,AUS,4030,-27.422167,153.034684,
Southern Cross Surgery,General practice service,67 DUNMORE STREET,WENTWORTHVILLE,NSW,AUS,2145,-33.8072083204099,150.97027889728,
Pharmacy 4 Less - Wallsend,Pharmacy service,122 Nelson Street,WALLSEND,NSW,AUS,2287,-32.9017448425293,151.6697998046875,
Royal Prince Alfred Hospital-Aged Care And Rehab-Rehab Medicine,Physical and rehabilitation medicine service,"Level 4,50 Missenden Road",CAMPERDOWN,NSW,AUS,2050,-33.88835525512695,151.18125915527344,
Myhealth Edensor Park,Dietetics service,"Edensor Park Plaza,Cnr Edensor & Allambie Road",EDENSOR PARK,NSW,AUS,2176,-33.880950927734375,150.87515258789062,
New Body New Life Nutrition - Norman Park,Nutrition service,"Bennetts Road Medical Centre,154 Bennetts Road",NORMAN PARK,QLD,AUS,4170,-27.484556198120117,153.06333923339844,
Back In Motion Bacchus Marsh,Physiotherapy service,3 Clifton Drive,BACCHUS MARSH,VIC,AUS,3340,-37.6657198,144.4372414,
Ampilatwatja Health Centre,General practice service,"PMB 202 via Alice Springs,Lot 64,South Street",AMPILATWATJA,NT,AUS,0872,-21.659079,135.22558,
Ambassadors Pharmacy,Pharmacy service,"Woolworths Shopping Complex,Shop 9,Mottram Street",MANJIMUP,WA,AUS,6258,-34.250999450683594,116.14099884033203,
Greenmeadows Medical,Physiotherapy service,152 Greenmeadows Drive,PORT MACQUARIE,NSW,AUS,2444,-31.456138610839844,152.89697265625,
Gymea Medical Practice,General practice service,93 GYMEA BAY ROAD,GYMEA,NSW,AUS,2227,-34.0360527,151.08444558,
All Hours Medical Centre,General practice service,"Shop 3A,135-137 Popondetta Road",EMERTON,NSW,AUS,2770,-33.74470901489258,150.81044006347656,
Hilltop Medical Practice,General practice service,12 Hilltop Road,MERRYLANDS,NSW,AUS,2160,-33.826553,150.981689,
Rockhampton District Primary and Community Health Services,Chronic disease management service,82 Bolsover Street,ROCKHAMPTON,QLD,AUS,4700,-23.37396812438965,150.50868225097656,
Blooms The Chemist Kenmore,Pharmacy service,"Kenmore Plaza Shopping Centre,Shop 9-10,841 Moggill Road",KENMORE,QLD,AUS,4069,-27.506471633911133,152.94859313964844,
The Pharmacy Guild of Australia ,Pharmacy service,15 NATIONAL CIRCUIT,BARTON,ACT,AUS,2600,-35.30970455,149.13276119,
BEGA Garnbirringu Health Service Aboriginal Corporation,General practice service,16-18 MacDonald Street,KALGOORLIE,WA,AUS,6430,-30.74658203125,121.4766616821289,
Symmetry Physiotherapy Port Melbourne,Physiotherapy service,298-300 Bay Street,PORT MELBOURNE,VIC,AUS,3207,-37.83735,144.94378,
Surry Hills Medical Centre,General practice service,569-573 Crown Street,SURRY HILLS,NSW,AUS,2010,-33.89091491699219,151.2127227783203,
headspace Swan Hill,Mental health service,11 PRITCHARD STREET,SWAN HILL,VIC,AUS,3585,-35.33745848,143.5552215,
Quantum Rehabilitation,Physiotherapy service,"Suite 14,102 Wises Road",MAROOCHYDORE,QLD,AUS,4558,-26.67177391052246,153.0849151611328,
KRS Health Family Medical Practice,Dietetics service,547 KOORINGAL ROAD,LAKE ALBERT,NSW,AUS,2650,-35.15066309,147.38192677,
Hillston Community Health Service Speech Pathology Service,Speech and language therapy service,48C Burns Street,HILLSTON,NSW,AUS,2675,-33.47910690307617,145.53855895996094,
